nom_pmu,pere,mere,bms
ICONE JULRY,ALIK JULRY,OPHELIE DE BAS,DIABLE INDIEN
IVAN LENDEL,QUEL AMOUR DUDEL,VANAE,INGEN
JACINTHE DE REP,UBRIACO,UTOPIE DU SABLIER,HYPERION
ITALIE DU NORD,NI HO PED D'OMBREE,TOLITE,KALAHARI
ITWEED BERRY,TUCSON,MEDELLIN,SEBRAZAC
ILE DU SABLIER,NORGINIO,PREUVE DU SABLIER,DERBY DU GITE
ICARE DU BELLAY,LOOK DE STAR,MONA DU BELLAY,BUVETIER D'AUNOU
ISTELLE D'OURVILLE,HAND DU VIVIER,CASTELLE,QUATRE JUILLET
IPANEMA BEACH,REX HAIE NEUVE,SARBELLA DU VIVIER,FIRST DE RETZ
ILCOURT DU RENARD,TSAR DE TONNERRE,OPENENDED,CYGNUS D'ODYSSEE
IBANEZ QUESNOT,BOLERO LOVE,QUEEN INES,INSTALL
ILLENAMORA BOND,NIKY,APHRODITE BOND,PRODIGIOUS
IRUN,REVE D'UDON,URD,HADOL DU VIVIER
INA DU TEMPS,DOBERMAN,AIRELLE DU TEMPS,CLASSIC RODNEY
ILONA DU FER,ATLAS DE JOUDES,ATINA D'HUON,FORTUNA FANT
INFLUENCE JULRY,KESACO PHEDO,NIKITA JULRY,FLEURON PERRINE
IDYLLE GEMA,SAXO DE VANDEL,TOPAZE GEDE,DIAMANT GEDE
ICARE DE FAEL,QUAKER JET,JEBELLICA,CEDRE DU VIVIER
IRRESISTIBLE LOVER,SCIPION DU GOUTIER,UNE FIGURE,JASMIN DE FLORE
ISIS DE TOUCHYVON,DOBERMAN,BAIE PEARL,SAXO DE VANDEL
INDEX DU NORD,TUCSON,TIRELESS,HERMES PERRINE
ITALIA TURGOT,ATHOS DES ELFES,ARABESQUE TURGOT,PABLO
IRONIE DU LOISIR,PUNCHY,RAQUEL DU RIED,WORKAHOLIC (US)
KANDY DU MIDI,ENINO DU POMMEREUX,NOWADAYS,DURVALO
IRRESISTIBLE PIYA,UP AND QUICK,ATHILDA PIYA,SANCHO PANCA
KORDELIA,UN AMOUR D'HAUFOR,BAGDALENA,MIRAGE DU GOUTIER
KING DE JOUDES,PRINCE GEDE,FUNNY DE JOUDES,COKTAIL JET
KANELLE DU NOYER,BOOSTER WINNER,BELISHA PERLE,READY CASH
KEN DE CORDAY,ECU PIERJI,QUAVIS DE CORDAY,ECHO
KISS BOY,VINCI DE L'ABBAYE,PESCALINE,USTANG DE MAI
KOSMIC NOW,UNICLOVE,NO NONSENSE,VIKING'S WAY
KAKI DE VAL,UN AMOUR D'HAUFOR,CIRCE DE VAL,POMEROL DE LAUMAC
KISS KATE,CRISTAL MONEY,ULMIA DE VANDEL,NOT DISTURB
KAPRICE DE KACY,EARL SIMON,COMETE,NIKY
GOLF,BOOSTER WINNER,JOIE DE MAI,CYGNUS D'ODYSSEE
HACH DES CAPELLES,VAILLANT CASH,OLGA DES CAPELLES,ILLICO PRESTO
HATCHI DU KLAU,BRILLANTISSIME,KITTY,COKTAIL JET
HERMINE DU MESLIER,VITTEL DE BREVOL,JULIA DE CROUAY,PODOSIS
HENRY DE CORDAY,BIRD PARKER,QUAVIS DE CORDAY,ECHO
HERMES FLAM,NI HO PED D'OMBREE,USTELLA FLAM,KID BLUE
FUN DE LA LOGE,ROLLING D'HERIPRE,UNE DE LA LOGE,TARASS BOULBA
GEISHA D'EM,KIWI,ROMANTICA D'EM,DIAMANT GEDE
HELL BOY DU BOULAY,URAKI DES SARTS,SUNE BRICOISE,INSERT GEDE
GASCOGNE DE L'ITON,PANACHE DE L'ITON,RULA JOSSELYN,CEZIO JOSSELYN
FOREVER MARANCOURT,LET'S GO ALONG,UTOPIE SOMOLLI,OLIMEDE
FALCO DA VINCI,QUIRKY JET,QUOTANNIS,CAPRICCIO
HEAVEN JULRY,UN AMOUR D'HAUFOR,OPHELIE DE BAS,DIABLE INDIEN
INUITS D'EM,RANCHO GEDE,QUEBECOISE BONHEUR,COKTAIL JET
FUEGO D'IRATY,TIEGO D'ETANG,QLEA D'IRATY,HASTING
GAWANI DU BOCAGE,BIRD PARKER,OMAHA,JAIN DE BEVAL
FOLLOW DARLING,TEXAS CHARM,QUELLE DARLING,DEFI D'AUNOU
GOSSE MAJYC,ECHO,NASSY,COKTAIL JET
HARMONIA THE BEST,URIEL SPEED,PAMPA,SANCHO PANCA
HARMONIE DE SOYORA,BIRD PARKER,SOYA,GOETMALS WOOD
HERODE DU CORTA,PICSOU DE VILLABON,JELNA CLAIRCHAMP,WORKAHOLIC (US)
GENERAL DU NORD,UN MEC D'HERIPRE,ODYSSEE DES BORDES,GOETMALS WOOD
FLAMME JULRY,HULK DES CHAMPS,MADAME JULRY,CAPITOLE
GHOST DES CHARRONS,UP THE GREEN,PINTA QUICK,DERBY DU GITE
JAZZ MARTINEZ,OFFSHORE DREAM,AMIE BAROQUE,GANYMEDE
EREGON DE JUPILLES,RICIMER,SATINE DE NGANDA,KANDJAR BLANC
JET SCOTT,GOGO,PRIMA SCOTT,FILOU DE LA GRILLE
JIVA DU DOUET,UP AND QUICK,VENUS DU DOUET,INVAR
JESSICA TURGOT,SANCHO TURGOT,BEGUM TURGOT,FIRST DE RETZ
IPAD LILA,UP AND QUICK,BELLE ILE ROYALE,COKTAIL JET
JOY DES COUPERIES,DRAGON DU FRESNE,CHIPIE SPEED,KIWI
INSTINCT IDEAL,GANYMEDE,BASTA IDEALE,QUAKER JET
JOLIE DU GITE,PICSOU DE VILLABON,ECUYERE DU GITE,GANYMEDE
JOYCE PIPOL,UNCARING,USHUAIA DES BOIS,GO LUCKY
HERMES SOMOLLI,LOVE YOU,MOONLIGHT SOMOLLI,AND ARIFANT
GOUTTE D'OR JOBI,LUDO DE CASTELLE,VANILLA,DIAMANT GEDE
HIP HOP RENARDIERE,VERY PLEASANT,AMY SONG,LET'S GO ALONG
HYPOTHESE FORGAN,VIGOVE,ULTIMA CURVA,JULIANO STAR
FLASH SPECIAL,VOLCAN D'URZY,ALIKE PEARL,ROCKLYN
HEATHROW,CHARLY DU NOYER,SANTANNA GIRL,COKTAIL JET
HORYVIL DES MOYEUX,AKIM DU CAP VERT,ULGAPE DU VOULGIS,INFANT DU BOSSIS
FAKIR DU MILAN,REDEO JOSSELYN,SAGESSE PIYA,DAHIR DE PRELONG
GIRONA DES BOSC,UNICLOVE,INDIRA DU CHENE,WORKAHOLIC (US)
FLIPPER D'OCCAGNES,LOOK DE STAR,RANI PIERRE,BACCARAT DU PONT
GITANO DE LUISLO,OBRILLANT,VIRGIN JET,COKTAIL JET
GIORGIO DU VIVIER,ORLANDO VICI,QUILLE DU VIVIER,ACHILLE
GALERIEN DE BOUERE,LORD ANGOT,QUATIA DE JANEIRO,HERMES DU BUISSON
GOLDEN GOOD,VOYAGE DE REVE,TORPES D'OZE,ECLAIR DE VANDEL
GINKGO NAY,CYGNUS D'ODYSSEE,SIRENE NAY,BIESOLO
GEM DARLING,GOETMALS WOOD,VIRGIN DARLING,LET'S GO ALONG
FRINGANT PACHA,OPUS VIERVIL,UNE MUTINE,SANCHO PANCA
GINGLE SPECIAL,OURAGAN DE CELLAND,VESTA SPECIALE,NOT DISTURB
GAYA DU VARLET,LILIUM MADRIK,REGATE DU VARLET,JENKO
JUNO D'ELFE,COBRA BLEU,BEAUTY D'ELFE,OCEANO NOX
EDISON CEIJY,ORLANDO VICI,PIN UP CEIJY,JOYAU D'AMOUR
JIBEN BEJI,CAID DE JUMILLY,SALSA BEJI,NOT DISTURB
JEAN PIERRE,PACHA DU PONT,TARPEIA VICI,JEANBAT DU VIVIER
ESPOIR VAUCEEN,QUID DE CHAHAINS,MADE IN ROUMANIE,CARNAC
EL MESSIE JOROCO,LAETENTER DIEM,SARCELLE,CLASSIC RODNEY
JOUR DES RACQUES,BIRD PARKER,AURA DES RACQUES,COKTAIL JET
JOKER DE LA VITAR,QUALYPSO JIEL,RARA MARIS,TENOR DE BAUNE
JUNIOR DU THENNEY,REPEAT LOVE,CHELSEA DU THENNEY,NEZ PERCE
JOYAU DE JIEL,BRILLANTISSIME,HIOSCA JIEL,JIOSCO
JUPITER BEAUREGARD,ALTO DE VIETTE,REALITE BEAUREGARD,CARPE DIEM
JACK DE PEISELS,GAZOUILLIS,VENUS MAJYC,NIKY
JEAN JOSEPH,NIKY,JIAVANA DE PRELONG,ARNAQUEUR
IPSY DE FONTENAY,ROCKLYN,RYDDING STAR,EXTREME AUNOU
JAY ZEE SAUTREUIL,UP AND QUICK,DAYANA GRIFF,PRODIGIOUS
IT'S DE TILLARD,READY CASH,TOISON DE TILLARD,LOOK DE STAR
IT'S DU QUENNE,LOVE YOU,ULA D'ARRAS,OLIMEDE
ILENCIO,READY CASH,TALYSSA,AND ARIFANT
INSUBMERSIBLE,TAG WOOD,CHIMENE DE MELODIE,MEMPHIS DU RIB
IBRA DU THENNEY,AMSTRONG JET,CHELSEA DU THENNEY,NEZ PERCE
INCROYABLE MORGAN,UBRIACO,MARYGEE DE LOU,VIKING'S WAY
IDEAL NESLOIS,VERY LOOK,OPHELIA DE RAI,HERMES PERRINE
IZAAK DE NAPPES,SAM BOURBON,COCOMETTE,COKTAIL JET
IL EST LA FIX,VANISHING POINT,TAYA FIX,KIWI
MADAME AF DJUPMYRA,,,
MADE OF STARS,SUPER PHOTO KOSMOS,VENUS DU LOISIR,QUALMIO DE VANDEL
INDIEN DE VIVOIN,OURAGAN DE CELLAND,BOMBE DE VIVOIN,PABLO
FALCO DE BELLANDE,SERENO,SAGESSE DU BOUFFEY,DERBY DU GITE
FURIOSO DREAM,SOLEIL D'ENFER,OCEANE FIERE,ECLAT DE LA CRAU
RAPIDE YODA,UP AND QUICK,,
STRONG HEARTBEAT,MAHARAJAH (US),,
MELLBY GUARD,GOING KRONOS,,
DIGITAL DOMINANCE,SUPER PHOTO KOSMOS,,
FAMOUS LAST WORDS,LOVE YOU,PALMIA DE VANDEL,GANYMEDE
LAST WINNER (BEL),QUAKER JET,ALTESSE THORIS,READY CASH
JUDIKATHOR GAME,ALBERIC,UKANE PIERJI,OTELLO PIERJI
FEEL SMART,ROLLING D'HERIPRE,TRES SMART,AND ARIFANT
DIADEME DU CEBE,OTELLO PIERJI,RIKITA DU CEBE,HULK DES CHAMPS
FLORE MERITE,UN MEC D'HERIPRE,ROSE FLORE MERITE,GOETMALS WOOD
FRIDAY,RENOSO,JAPHIRIE,ROBERT P
GEOFFREY D'AM,TIMOKO,TIMBA MADRIK,JAM PRIDEM
FILOU DE LARRE,ROCKFELLER CENTER,ROSE DE LARRE,HELLO JO
FLAMBEUR ROYAL,SOLEIL D'ENFER,NOUCHKA DE MORMAL,HELLO JO
GALICIO BELLO,OISEAU DE FEUX,ROSARIA BELLA,DEFI D'AUNOU
GREAT DELIS,INFANT DU BOSSIS,REELLEDELIS,JACKPOT DREAM
HORSERIS,VIVALDO BELLO,UNE MISS WILLIAMS,GANYMEDE
FAIRWAY LA VITARD,GOGO,PHILOTIS,ECHO
HALIBI,SANCHO TURGOT,PETITE SOIREE,ACHILLE
HAUTAINE,SOLEIL DU FOSSE,UNA DU PONCELET,SANCHO PANCA
HERCULE DU PARC,NIL DU RIB,TINKA DU PARC,LAETENTER DIEM
HOLLY DU FER,BOCCADOR DE SIMM,QUOLETTE,IDEAL DE L'ITON
HELLO PAN,TI PUNCH RIVER,VEGA DU BOUILLON,LE RETOUR
HEROS,THE BEST MADRIK,VERONICA JET,MEAULNES DU CORTA
HAKIM BUISSONAY,AKIM DU CAP VERT,ANTARA BUISSONAY,LE RETOUR
HARD ROCK HAUFOR,ROC MESLOIS,UKRAINE HAUFOR,DIAMANT GEDE
HAMOUR DE JANZE,URAKI DES SARTS,ROSE DE JANZE,KENOR DE COSSE
HOOKER DU PECH,NUAGE DE LAIT,RIVALE DU PECH,DIAMANT GEDE
HAVANA DU CAMPDOS,PRINCE GEDE,AGLAE DU CAMPDOS,NI HO PED D'OMBREE
HUSKY DE BERTRANGE,JAM PRIDEM,ALISA DE BERTRANGE,LILIUM MADRIK
HATTRICK,OFFSHORE DREAM,VALENTINETTE,DEFI D'AUNOU
HAMILTON D'ALB,NAHAR DE BEVAL,MORGANE D'ALB,VIVIER DE MONTFORT
HELLO DU GERS,OISEAU DE FEUX,BIENVENUE DU GERS,QUINOA DU GERS
HIBIKI DE HOUELLE,UP AND QUICK,VAHINE DE HOUELLE,JAG DE BELLOUET
NAUGHTY ANA,TI PUNCH RIVER,GENESE,TAG WOOD
BARBUDA,HERMES DU BUISSON,HARENGERE,QUARTZ
FAVARITX,GAUCHO,TAVARIA,JOCRISSE
VENES,PUR HISTORIEN,MESSA,SABLON
NIKOLAJ,FELICIANO,DAGMAR,PRODIGIOUS
PORTRERO,GANDERO,GAGNANTE D'AMOUR,PILOBOLUS
LE HOULME,PRODIGIOUS,BE MINE DE HOUELLE,SCIPION DU GOUTIER
MALLORCA SUN,UZO JOSSELYN,ELANA SPORT,TITAN D'OCCAGNES
NIPPER,CLIPPER,ACANTHE,LARRE F
BABY GLORY,LORD DES BRUYERES,TENDRE LADY,UTAH III
RISING UP,LAUDANUM,NONETTE DE SIGNY,ESCAM
ALLEZ BARZA,ORFEU NEGRO,SANTKA,FUGIT
LICEO,DISSY,BENGALICHA,PALLY DE SASSY II
JAGDA,VILLEQUIER B,OKAIRMAGDALA,KAIROS
MAGELLAN,ELPENOR,BELLE DES PRES,NIVOSE
TAYBET,PUNCHY,UNANIME PEARL,CARPE DIEM
MELBORA,DREAM WITH ME,BORA DE BEUZEVAL,IOBARKO
RAVIOLI,BERWICK,GERBOISE NORMANDE,QUIBUS D'OGER
CHIAREGGIO,NAHAR DE BEVAL,GIGOGNE DE PAYRE,TARASS BOULBA
INNIS,ARPENT D'OSTAL,RUSE DU DIGEON,GRASSANO
VESINABA,JANUS DE CRILLE,PETITE VENDOMOISE,FILS DE LA BARRE
DORTHE,EPIGRAMME,MAE VIKING,URBAIN VI
NANA GINA,ESPEYRAC SUN,GRACE GIBUS,SEBRAZAC
GOGOKA,PICSOU DE VILLABON,PRISKA DES ATIAUX,CARNAC
MONTE CINTO,ROCKFELLER CENTER,ANDREA D'ECAJEUL,LET'S GO ALONG
FRENCH DIVA,CYGNUS D'ODYSSEE,UNION PLEASURE,PASSWORD
BANGARA,QUARISSO,LAIE,RUY BLAS IV
CIOTOLA,SAPHIR D'HAUFOR,IXIA HAUFOR,KIMBERLAND
TRUE START,JOKER DE ROZOY,KIRAVANA,ARNAQUEUR
MISS POOKIE,COUP DE POKER,VALEUR DU ROSAY,KID DE CHENU
THE CELT,BELLOUET,KATOA,APATY
MORE MAGIC,,,
FUCHSIA,SABRE D'AVRIL,OUBLIETTE,FIRSTLY
BIG FREEZE,OROPURO BAR,,
EQUILOT,PREMIER,QUILMA,SAMOTHRACE
JARIF,AND ARIFANT,URSULA,JACKSON
INVESTISSEUR,VOLNEY,ORIETTA B,HERMES D
SALWA,TARPAN III,ELISA DU GY,LE JUGE W
TEX D.A.,HYPERION,INES DE L'ETRAT,URISTAN
PICASSO T,BRADS PHOTO,,
IRIDESSE,PRINCE DES VEYS,TAJETES M,HAROLD D III
FARIDA P,NERIC BARBES,TOCCATA DU MARAIS,KEPI VERT
PAPILLION T,HATAO,ECLIPSE D'OR,GENTLEMAN IV
EL PICARO,PICADOR F,RUTH F,BANCO III
HAEVA D'OR,GRANIT (H.N.),MADRAGUE,TONY M
ISEULT,RUY BLAS IV,LUBIE II,MOUSKO WILLIAMS
O DEE,AIGLON D'EAU,CANDIE DE BAZEILLE,KEPI VERT
PEARL BAY,ALPHA BARBES,BEAUTE DU LOUBET,QUEL SORO
SNEAKY,HUGO BARBES,LINE DE PEYRAHOUT,AIRWAY
FRENCH BERE,OPUS NONANTAIS,SISSI DES TROIS,JOACHIM
ROBERT,KANDY,GORTYNE,NENUPHAR D
MIRAZ,QUIROGA II,VILLAPEDA,ENFANT DE TROUPE
CAPE VERDE,COKTAIL JET,MADRE MARIA,GOETMALS WOOD
KATUBA,CEDRE DU VIVIER,BREIZ VRO,JIOSCO
SEVENTH SEAL,MEMPHIS DU RIB,IDOLE,COKTAIL JET
SWEET CITY,LET'S GO ALONG,ILDA DU LYS,BIG PRESTIGE
HUNTER VALLEY,CHARLY DU NOYER,REETHI RAH JET,LOVE YOU
DANAROSA,QUIDO DU GOUTIER,HELICE FRANCE,BLUE DREAM
GREGGY,QUIRINALO,CYBELE D'ANCRE,POROTO
DAYYAN,ONOPHRIO,REGINA D'AVRIL,DUC DE VRIE
BLUES BIRD,NOBODY DE RETZ,MALOUETTE,UMUSE P
HUR CAT,VILLEROI,TURQUOISE,AND ARIFANT
MAGIC SWORD,GOETMALS WOOD,ALTESSE DU CLOSET,PASSIONNANT
KANDERAS,POWER JET,RISE AND SHINE,JASON DE VANDEL
HAPPY DREAM,BLUE DREAM,DON'T LEAVE ME,QUITO DE COURONNE
JASMINA,SATCHMO WOOD,ULLA DU VIVIER,KOREAN
WARRIOR,,,
BILBAO,INFANT DU BOSSIS,QUADRIE DU HINDRE,QUADROPHENIO
JAMIE,VALMIKI,DAMIE,QUEL VEINARD
AERION,LUTHERIEN,QUELLE DE CHARDE,HONORIN
ZOOM CHOP,GHIACCIO DEL NORD,,
EVERSTORM,GOETMALS WOOD,RED STAR,COKTAIL JET
SABIANO,HIGH ECHELON,ETZINA,OLTEN L
DUFOUR,UN AMOUR D'HAUFOR,MISS DU COURTILLE,ECKMUHL VRO
SKY GLORY,JAM PRIDEM,LEA GIRL,CAPRICCIO
INVITE D'HONNEUR,PASSIONNANT,OCLASIR,QUIOCO
BARACLAAS,ORLANDO VICI,PRIMATIE,JAM PRIDEM
KANNA,FEELING CASH,SUNNY LADY,FLASH DE COSSE
DAHLIE,EL MANNETOT,PEGGOTTY,DOCTEUR II
TUARI,CAID IV,JAVA DU CHATEAU,ULYSSE DU HARD
PIAZZAS,GINGER SOMOLLI,DIWANA,TARASS BOULBA
CELERES,GARDON,USITA II,NIKY DES ETANGS
GRACEHILL,VIP TILLY,UNE ODYSSEE,FLORESTAN
KARAFON,JONC D'ANSON,OH REGULIERE,AMOUR N
GIRASOLE,URA,NATHALIE R L,VOLONTAIRE
SOIZIYA,LAND DU COGLAIS,IDOLE DU BOUCHET,TANGO BARBES
KOURAL,LEJACQUE D'HOULBEC,VARAYGA,JIGWEN
LOVELY TESS,FEELING CASH,BE BLESS,JASMIN DE FLORE
BALADOR,GOBERNADOR,OMEGA MELODY,SANCHO PANCA
AZAZEL,INFANT DU BOSSIS,ILIADA DE L'ITON,VITTEL
MY BUDDY,UHLAN DU VAL,RIVIERE DU CLOSET,CYGNUS D'ODYSSEE
MARGUNS,SISYPHE II,IMPSALA,ROI D
ARVINNI,NI HO PED D'OMBREE,NALANDA,ECLAIR DU PAM
NAMAR,DEFI D'AUNOU,CASSETTE,RADJAH DE TALONAY
BOTTECI,NIVOSE,OTTELIA,ATUS II
SCHERWOOD,BACCARAT DU PONT,MELODIE D'OSTAL,EXTREME AUNOU
MAGNETIQUE,DYNAMISTIC,REINE CHARDONNET,FORT D'ORANGE
MOREMI,COQ SOURDIN,GAOLA,TIKI VI
AZADORE,OPUS NONANTAIS,MISS D'ICI,BEAU LUDOIS L
RIVER LILLY,BRILLANTISSIME,,
NEW LIGHT,VALMONT,ELIETTE,ODYSNER
MANDOKI,BIJOU DU BIGNON,HOLINE,RENOSO
SIGRUNE,HIMO JOSSELYN,MA ROUSSE DU CLOS,QUADROPHENIO
NO TIME,VOYAGE DE REVE,TRISTANA CEHERE,MON PREMIER CEHERE
IDUNN,LONTZAC,TIFFY,CYGNUS D'ODYSSEE
IDEE MELOC,QUAKER JET,NAMIKA,SPEED CLAYETTOIS
BARZELONA,NOBODY DU CHENE,INA GY,VOICI DU NIEL
INSOLITE EFBE,MAGNIFICENT RODNEY,STAR DE BARB,CYGNUS D'ODYSSEE
IRYSKA LESMELCHEN,UP AND QUICK,TEKENN LESMELCHEN,KIWI
IRRESISTIBLE GABY,QUIDO DU GOUTIER,ACTIVITY GABY,FULL ACCOUNT
IKERINA,APOLLON DE LA LYS,CORALINA,ECHO
ILOS DU GOUTIER,GOETMALS WOOD,AURENESS,MERCENAIRE
I RUN FIGHTER,RIEUSSEC,MOVING NICE,EXTREME DREAM
IBILI D'OCCAGNES,BILIBILI,SOURCE D'OCCAGNES,DAHIR DE PRELONG
INFINIE DU SOLEIL,UN MEC D'HERIPRE,RAZZIA TEJY,JOE L'AMOROSO
IMPACTS LUDOIS,CLIF DU POMMEREUX,OSTIA LUDOISE,DREAM WITH ME
ISIS DU MONT,DJANGO RIFF,BARDANE DU MONT,NIKY
ICALINE DIESCHOOT,QUIF DE VILLENEUVE,KALIE DU FRUITIER,CAPRICCIO
ISABELLA KILY,LUDO DE CASTELLE,VIVE LUCERNAISE,JAG DE BELLOUET
ILIEN DE VRIE,BIRD PARKER,TARTANE VRIE,NI HO PED D'OMBREE
KELLE EVIDENCE,EARL SIMON,EVIDENCE DESTINEE,SAXO DE VANDEL
KESITO D'URVILLE,SOLEIL D'ENFER,BELLE DE CREPIN,NEOH JIEL
KADOR DE SEVRE,EL VILLAGIO,ANNE D'ORGERES,KOREAN
KILLY D'IRATY,NIKY,ATLANTA WOOD,LOVE YOU
KAISER DU BELVER,UNICLOVE,SINDY DE LA NOE,GOETMALS WOOD
KIARHA DE NAPPES,VILLAGE MYSTIC,RIMINI,QUADROPHENIO
KAPTAIN DE HOERDT,CAPTAIN SPARROW,SAMBA DRY,COKTAIL JET
KELLOU DES BRUMES,NIKY,ULKA DES BRUMES,GANYMEDE
KISS COOL MIJACK,BILIBILI,ROSACE DE MAI,BIESOLO
JOLIE PETTEVINIERE,CAPTAIN SPARROW,ALLEZ PETTEVINIERE,PRINCE GEDE
JUSTINE GOBIERES,POWER JET,CALIFATE GOBIERES,ESSAIM LAURENT
JAMIE LEE WHITE,ATLAS DE JOUDES,TEETH WHITE,HERMES DE PERICARD
JUVENILIA DU NORD,HULK DES CHAMPS,QUILEA DE FANNY,GERFAUT DE POULINE
JAVA CAILLERIE,REAL DE LOU,UNAFLORE,AND ARIFANT
JIMKA COSTARDIERE,REVE DE BEYLEV,VENISE COSTARDIERE,NEZ PERCE
JOIE DE VIVRE,PRODIGIOUS,POLENSKA,EXTREME DREAM
JOG DE JAVIE,CLIF DU POMMEREUX,PIN UP DE JAVIE,HELLO JO
JOYCE CAUVELLIERE,BOOSTER WINNER,QUOLETTE,IDEAL DE L'ITON
JONC DE BLAY,OURAGAN DE CELLAND,BALADE DE BLAY,JAM PRIDEM
JEWEL,SANCHO PANCA,VICTORY DATE,JIOSCO
JET BLACK,READY CASH,QUAYAYA,HERMES PERRINE
JAZZ DE BLARY,DJANGO RIFF,DIVA DU CHOQUEL,LOVE YOU
JO DIBAH,CHARLY DU NOYER,VANILLE DU NOYER,QUARO
JACK SPARROW GEPE,REVE DE BEYLEV,VICTORY GEPE,HASTING
JIPET DE CREPIN,BOCCADOR DE SIMM,ABIKIE,NIKY
JOURNAL INTIME,ROYAL DREAM,EDITION,VOLCAN D'URZY
IPOP,QUAKER JET,URFA MESLOISE,FLEURON PERRINE
JULES DES CHAMPS,BAD BOY DU DOLLAR,ULLA DES CHAMPS,HERMES DU BUISSON
INSAISISSABLE DUO,AMIRAL SACHA,RIVIERA DREAM,LOOK DE STAR
ILIO MANNETOT,HAND DU VIVIER,QUISSASSE MANNETOT,HETRE VERT
INDIGO,TAKIMA,USSIE DU BUT,VALMONT
INDY DES PENDANTS,PARIS HAUFOR,AZALEE DE MORTREE,CARPE DIEM
FEIWO,QUEUR DE L'ANTE,REINE DES MAZURES,KING DU PERTHOIS
ISCO DU MONCEL,SERENO,SPICE LOCO,KOREAN
GO GO GIGI,LILIUM MADRIK,TOTOYA,HAND DU VIVIER
IDEAL THORIS,HAND DU VIVIER,KOSETTE D'ATOUT,BIG PRESTIGE
GOLDWYN DU CAUX,VICOMTE BOUFARCAUX,VERONE DU CAUX,KOOL DU CAUX
EL MATADOR,QUARO,ROSACE DE MAI,BIESOLO
ITEM BUISSONAY,VERY NICE MARCEAUX,CYBELE BUISSONAY,ROC MESLOIS
FAKIR DES LANDES,NIKY,PALOMA DES LANDES,GO LUCKY
FLAMME NONANTAISE,UNIVERS DE PAN,PALOMINA,FLASH MESLOIS
FOLLE TIGRESSE,OPIUM,TIGRESSE SMILING,LOVE YOU
GUELIZ,TORNADO BELLO,SANS PEUR,HAND DU VIVIER
FOLCO'S BLUES,TIMOKO,NEW ORLEANS,WORKAHOLIC (US)
FRICHTI,ORLANDO VICI,KALKIDIKIE,COKTAIL JET
GLOIRE DE FLEURY,REVE DE BEYLEV,SIERRA DE BRIAD,NI HO PED D'OMBREE
FRISSON DU QUESNE,QUINOA DU GERS,REINETTE DU QUESNE,JAIN DE BEVAL
GALAXIE DU HOME,TUCSON,REVERENCE DU HOME,HALIMEDE
GUIDO JOSSELYN,PRODIGIOUS,UKA JOSSELYN,CEZIO JOSSELYN
FENNEC JEGO,REVE DE BEYLEV,LISA DE BEAUFORT,VIKING'S WAY
GLYCINE D'ERPION,ROCKLYN,TILLARNEY MERITE,NICE LOVE
GRAND MARABOUT,SINGALO,OVATION DU LYS,CHENU
FOSBURY,GOETMALS WOOD,OAKS DU CLOSET,BUVETIER D'AUNOU
GRAAL DE BUSSET,VILLAGE MYSTIC,ROYALE DE BUSSET,WORKAHOLIC (US)
GAI MATIN,RIEUSSEC,NUIT TORRIDE,BOLERO DU COQ
FASTNET DU HUTREL,GOETMALS WOOD,PRINCESSE,VIKING'S WAY
FURIOSO A QUIRA,SAM BOURBON,QUIRA DES JACQUETS,EXTREME DREAM
GUEPARD DE TILLARD,NAHAR DE BEVAL,VITESSE DE TILLARD,JAIN DE BEVAL
GIMY DU POMMEREUX,COKTAIL JET,NOUNE DU POMMEREUX,HALIMEDE
HONKY TONK BLUES,MAGNIFICENT RODNEY,UNCLE SAM,GANYMEDE
FIGHTER SMART,UNICLOVE,VICKY CASH,PRODIGIOUS
EDEN BASQUE,SINGALO,JANGA,DJANGO
DOUX PARFUM,SINGALO,LAMBADA JET,COKTAIL JET
ECUREUIL JENILOU,VILLAGE MYSTIC,MELODIE JENILOU,VROUM D'OR
HIRO MAGIS,OFFSHORE DREAM,NODA JOSSELYN,CYGNUS D'ODYSSEE
HARLEY DES PRES,RICIMER,TOUNDRA DE GASAR,INDY DE VIVE
HARRY LE BEAU,CAHAL DES RIOULTS,REVERIE FORGIONNE,MON BELLOUET
HECTOR DES BUTTES,TRAVEL JET,URGENCE DES BOTS,LUDO DE CASTELLE
EMERAUDE DE BAIS,REPEAT LOVE,HAUTE TENSION,BIESOLO
HEAGLE ONE,GOETMALS WOOD,AMERICA ONE,READY CASH
HOOLIGAN JIM,NEUTRON DU CEBE,RAMA JIM,LOOK DE STAR
IKAROS,CARAT WILLIAMS,RANDINA,LULO JOSSELYN
HAVANA MOON,SEVERINO,TATE GALLERY,GOETMALS WOOD
IZARA DE VIETTE,JAG DE BELLOUET,ROMANTICA DE DYPP,CYGNUS D'ODYSSEE
ITRO,MAGNIFICENT RODNEY,ROJA DES JACQUETS,GANYMEDE
IVON DE LA MONERIE,BOOSTER WINNER,BAHIA DE L'ODEON,OARDO
INVICTUS D'ECAJEUL,BOLD EAGLE,BELLE PIERJI,SAM BOURBON
IRU FUSHI,LOVE YOU,RAFALE DU RIB,DAHIR DE PRELONG
HELIOS DES CHAMPS,BOLD EAGLE,REBECCA DES CHAMPS,JASMIN DE FLORE
IDEM DU PONT,QUINOA DU GERS,UQUINETTE DU PONT,BACCARAT DU PONT
IDEFIX D'OLMEN,UNICLOVE,CITOYENNE D'AM,READY CASH
